StockCode,Description,Month,Year,TotalSales
22692,DOORMAT WELCOME TO OUR HOME,4,2011,512.7
22384,LUNCH BAG PINK POLKADOT,1,2011,902.15
21221,SET/4 BADGES CUTE CREATURES,2,2011,43.75
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,2010,1863.0500000000002
22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011,403.04999999999995
85213,MINI  ZINC GARDEN DECORATIONS,3,2011,44.199999999999996
22624,IVORY KITCHEN SCALES,3,2011,779.45
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2011,962.6500000000001
21051,RIBBONS PURSE,12,2010,33.6
21989,PACK OF 20 SKULL PAPER NAPKINS,1,2011,115.59999999999998
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1,2011,165.0
22807,SET OF 6 T-LIGHTS TOADSTOOLS,12,2010,141.60000000000002
21888,BINGO SET,2,2011,127.5
84531B,BLUE KNITTED EGG COSY,3,2011,40.949999999999996
22026,BANQUET BIRTHDAY  CARD,2,2011,66.24
22976,CIRCUS PARADE CHILDRENS EGG CUP,2,2011,98.75
22079,RIBBON REEL HEARTS DESIGN,3,2011,211.2
22781,GUMBALL MAGAZINE RACK,12,2010,267.75
22474,SPACEBOY TV DINNER TRAY,3,2011,59.400000000000006
21967,PACK OF 12 SKULL TISSUES,12,2010,92.50999999999999
22854,CREAM SWEETHEART EGG HOLDER,1,2011,560.4000000000001
22257,FELT FARM ANIMAL SHEEP,2,2011,43.75
22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,2011,453.9
84877B,GREEN ROUND COMPACT MIRROR,12,2010,30.0
21058,PARTY INVITES WOODLAND,2,2011,272.80999999999995
85231B,CINAMMON SET OF 9 T-LIGHTS,3,2011,13.6
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,12,2010,325.19
21324,HANGING MEDINA LANTERN SMALL,4,2011,11.8
22785,SQUARECUSHION COVER PINK UNION FLAG,3,2011,87.75
22276,WASH BAG VINTAGE ROSE PAISLEY,12,2010,117.3
21558,SKULL LUNCH BOX WITH CUTLERY,4,2011,201.45
22223,CAKE PLATE LOVEBIRD PINK,2,2011,217.5
62096A,PINK/YELLOW FLOWERS HANDBAG,2,2011,80.0
22897,OVEN MITT APPLES DESIGN,2,2011,181.4
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,5,2011,791.58
22407,MONEY BOX FIRST ADE DESIGN,4,2011,18.75
