StockCode,Description,Month,Year,TotalSales
22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010,3898.9500000000007
22440,BALLOON WATER BOMB PACK OF 35,1,2011,29.400000000000002
21217,RED RETROSPOT ROUND CAKE TINS,2,2011,1151.85
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2010,2654.55
22669,RED BABY BUNTING,2,2011,289.75
85174,S/4 CACTI CANDLES,3,2011,69.30000000000001
21034,REX CASH+CARRY JUMBO SHOPPER,2,2011,56.05
22610,PENS ASSORTED FUNNY FACE,12,2010,166.68
48184,DOORMAT ENGLISH ROSE,1,2011,971.5499999999998
22222,CAKE PLATE LOVEBIRD WHITE,2,2011,191.25
82580,BATHROOM METAL SIGN,3,2011,297.5
21864,UNION JACK FLAG PASSPORT COVER,3,2011,39.900000000000006
22919,HERB MARKER MINT,4,2011,137.8
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2011,549.1
21498,RED RETROSPOT WRAP,2,2011,236.04
22843,BISCUIT TIN VINTAGE GREEN,2,2011,678.1500000000001
21871,SAVE THE PLANET MUG,2,2011,319.46000000000004
21675,BUTTERFLIES STICKERS,1,2011,35.7
22911,PAPER CHAIN KIT LONDON,3,2011,76.7
22700,BLACK AND WHITE DOG BOWL,1,2011,253.69000000000005
22649,STRAWBERRY FAIRY CAKE TEAPOT,3,2011,319.8
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,2,2011,1075.0
84920,PINK FLOWER FABRIC PONY,3,2011,30.0
23054,RECYCLED ACAPULCO MAT LAVENDER,3,2011,338.25
21744,SNOWFLAKE PORTABLE TABLE LIGHT,12,2010,118.00000000000001
84846A,SCENTED CANDLE IN DIGITALIS TIN,1,2011,16.8
21725,SWEETIES  STICKERS,1,2011,28.049999999999997
35961,FOLKART ZINC HEART CHRISTMAS DEC,4,2011,25.5
22847,BREAD BIN DINER STYLE IVORY,12,2010,681.8
17084N,FAIRY DREAMS INCENSE,3,2011,21.0
21116,OWL DOORSTOP,12,2010,89.10000000000002
22977,DOLLY GIRL CHILDRENS EGG CUP,2,2011,92.5
85180B,PINK HEARTS LIGHT CHAIN,1,2011,101.85000000000001
22624,IVORY KITCHEN SCALES,4,2011,47.6
21945,STRAWBERRIES  DESIGN FLANNEL,1,2011,40.8
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2010,46.800000000000004
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,1,2011,121.82
20772,GARDEN PATH JOURNAL,1,2011,45.9
79062D,"RETRO TIN ASHTRAY,REVOLUTIONARY",7,2011,8.12
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,8,2011,45.239999999999995
85214,TUB 24 PINK FLOWER PEGS,4,2011,9.899999999999999
21508,VINTAGE KID DOLLY CARD,5,2011,96.48
22785,SQUARECUSHION COVER PINK UNION JACK,6,2011,20.25
23319,BOX OF 6 MINI 50'S CRACKERS,7,2011,221.85000000000002
20725,LUNCH BAG RED RETROSPOT,8,2011,3141.45
22485,SET OF 2 WOODEN MARKET CRATES,5,2011,637.5
21930,JUMBO STORAGE BAG SKULLS,6,2011,1285.8000000000002
22475,SKULL DESIGN TV DINNER TRAY,7,2011,39.6
23065,LARGE DECO JEWELLERY STAND,5,2011,712.5
22712,CARD DOLLY GIRL,6,2011,255.59999999999997
82567,"AIRLINE LOUNGE,METAL SIGN",7,2011,81.9
22755,SMALL PURPLE BABUSHKA NOTEBOOK,6,2011,60.349999999999994
22712,CARD DOLLY GIRL,5,2011,332.64
84997D,CHILDRENS CUTLERY POLKADOT PINK,6,2011,1096.1000000000001
46000M,POLYESTER FILLER PAD 45X45CM,6,2011,190.65
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011,926.4000000000001
21329,DINOSAURS  WRITING SET,4,2011,59.39999999999999
21222,SET/4 BADGES BEETLES,4,2011,28.75
22849,BREAD BIN DINER STYLE MINT,4,2011,365.84999999999997
22809,SET OF 6 T-LIGHTS SANTA,7,2011,20.650000000000002
22912,YELLOW COAT RACK PARIS FASHION,8,2011,74.25
20762,GREEN FERN SKETCHBOOK,6,2011,67.5
21523,DOORMAT FANCY FONT HOME SWEET HOME,6,2011,2870.0499999999997
72819,CUPID DESIGN SCENTED CANDLES,7,2011,5.1
84569A,PACK 3 IRON ON DOG PATCHES,5,2011,50.0
21634,ASSORTED MINI MADRAS NOTEBOOK,8,2011,9.36
20772,GARDEN PATH JOURNAL,5,2011,22.95
21165,BEWARE OF THE CAT METAL SIGN,6,2011,384.55999999999995
51008,AFGHAN SLIPPER SOCK PAIR,5,2011,6.9
22276,WASH BAG VINTAGE ROSE PAISLEY,7,2011,15.299999999999999
85049A,TRADITIONAL CHRISTMAS RIBBONS,4,2011,2.5
21084,SET/6 COLLAGE PAPER CUPS,8,2011,13.110000000000001
22053,EMPIRE DESIGN ROSETTE,4,2011,30.0
84849D,HOT BATHS SOAP HOLDER,5,2011,70.98
85170D,SET/6 PINK BIRD T-LIGHT CANDLES,4,2011,55.260000000000005
85169A,IVORY LOVE BIRD CANDLE,5,2011,2.5
23159,SET OF 5 PANCAKE DAY MAGNETS,8,2011,461.76000000000005
21471,STRAWBERRY RAFFIA FOOD COVER,5,2011,261.6
22877,NUMBER TILE COTTAGE GARDEN 9,5,2011,19.5
22291,HANGING CHICK CREAM DECORATION,7,2011,88.45
22797,CHEST OF DRAWERS GINGHAM HEART,8,2011,84.75
23298,SPOTTY BUNTING,9,2011,4060.8
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,10,2011,180.95999999999998
21166,COOK WITH WINE METAL SIGN,10,2011,1754.9599999999998
23410,CURIO CABINET LINEN AND LACE,10,2011,113.00000000000001
85049A,TRADITIONAL CHRISTMAS RIBBONS,10,2011,1038.21
21172,PARTY METAL SIGN,11,2011,643.2
22712,CARD DOLLY GIRL,10,2011,167.7
M,MANUAL,10,2011,21183.629999999997
84870B,BLUE GEISHA GIRL,8,2011,18.75
22621,TRADITIONAL KNITTING NANCY,9,2011,834.01
22691,DOORMAT WELCOME SUNRISE,9,2011,669.9
23551,PACK OF 12 PAISLEY PARK TISSUES,9,2011,296.4
23511,EMBROIDERED RIBBON REEL EMILY,9,2011,178.88
21947,SET OF 6 HEART CHOPSTICKS,10,2011,73.47
23173,REGENCY TEAPOT ROSES,9,2011,2990.8
84378,SET OF 3 HEART COOKIE CUTTERS,11,2011,1785.0700000000006
21581,SKULLS  DESIGN  COTTON TOTE BAG,9,2011,92.25
21169,YOU'RE CONFUSING ME METAL SIGN,10,2011,471.82
23336,EGG FRYING PAN PINK,11,2011,60.29
21820,GLITTER HEART GARLAND WITH BELLS,11,2011,529.1600000000001
23026,DRAWER KNOB VINTAGE GLASS STAR,11,2011,114.37
22480,RED TEA TOWEL CLASSIC DESIGN,8,2011,53.75
21622,VINTAGE UNION JACK CUSHION COVER,10,2011,59.4
22534,MAGIC DRAWING SLATE SPACEBOY,8,2011,67.62
23004,TRAVEL CARD WALLET PANTRY,9,2011,66.77
22962,JAM JAR WITH PINK LID,9,2011,128.49
22694,WICKER STAR,11,2011,1154.4
35598D,PINK/WHITE CHRISTMAS TREE 60CM,9,2011,218.39999999999998
22046,TEA PARTY  WRAPPING PAPER,10,2011,73.5
35910B,PINK FLOWERS RABBIT EASTER,11,2011,1.95
22565,FELTCRAFT HAIRBANDS PINK AND WHITE,9,2011,40.379999999999995
23527,WALL ART ANIMALS AND NATURE,12,2011,56.25
17003,BROCADE RING PURSE,11,2011,413.28
47567B,TEA TIME KITCHEN APRON,12,2011,84.42
22843,BISCUIT TIN VINTAGE GREEN,11,2011,101.25
21650,ASSORTED TUTTI FRUTTI BRACELET,11,2011,51.11
23241,TREASURE TIN GYMKHANA DESIGN,12,2011,219.84
90120C,GREEN MURANO TWIST BRACELET,11,2011,42.5
22996,TRAVEL CARD WALLET VINTAGE TICKET,12,2011,50.82
22539,MINI JIGSAW DOLLY GIRL,12,2011,65.17000000000002
22191,IVORY DINER WALL CLOCK,12,2011,221.0
21156,RETROSPOT CHILDRENS APRON,12,2011,220.36
22900,SET 2 TEA TOWELS I LOVE LONDON,12,2011,383.5
21675,BUTTERFLIES STICKERS,11,2011,60.989999999999995
21351,CINAMMON & ORANGE WREATH,12,2011,27.0
23126,FELTCRAFT GIRL AMELIE KIT,12,2011,243.44
22955,36 FOIL STAR CAKE CASES,12,2011,44.24
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,12,2011,5.1
22614,PACK OF 12 SPACEBOY TISSUES,12,2011,27.5
22169,FAMILY ALBUM WHITE PICTURE FRAME,12,2011,431.8
22109,FULL ENGLISH BREAKFAST PLATE,11,2011,745.0
22865,HAND WARMER OWL DESIGN,12,2010,1788.6000000000006
22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2010,603.8999999999999
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2,2011,79.08
84832,ZINC WILLIE WINKIE  CANDLE STICK,2,2011,113.89999999999999
22666,RECIPE BOX PANTRY YELLOW DESIGN,3,2011,1597.2999999999997
21621,VINTAGE UNION JACK BUNTING,12,2010,544.0
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,12,2010,645.33
21833,CAMOUFLAGE LED TORCH,3,2011,283.91999999999996
20728,LUNCH BAG CARS BLUE,12,2010,709.1
22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2010,84.99999999999999
22949,36 DOILIES DOLLY GIRL,2,2011,28.999999999999996
84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,3,2011,178.5
22064,PINK DOUGHNUT TRINKET POT,12,2010,256.04999999999995
21907,I'M ON HOLIDAY METAL SIGN,12,2010,189.60000000000002
21135,VICTORIAN  METAL POSTCARD SPRING,3,2011,255.19
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,3,2011,77.28
84461,12 PINK HEN+CHICKS IN BASKET,4,2011,53.54999999999999
22896,PEG BAG APPLES DESIGN,12,2010,178.95
21792,CLASSIC FRENCH STYLE BASKET GREEN,3,2011,81.0
85230E,STRAWBRY SCENTED VOTIVE CANDLE,3,2011,30.24
22660,DOORMAT I LOVE LONDON,1,2011,63.60000000000001
22249,DECORATION WHITE CHICK MAGIC GARDEN,12,2010,13.6
22671,FRENCH LAUNDRY SIGN BLUE METAL,3,2011,66.0
22412,METAL SIGN NEIGHBOURHOOD WITCH,2,2011,360.90000000000003
84828,JUNGLE POPSICLES ICE LOLLY MOULDS,3,2011,27.5
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,1,2011,93.22
20934,SET/3 POT PLANT CANDLES,2,2011,38.150000000000006
22420,LIPSTICK PEN BABY PINK,12,2010,15.54
84507B,STRIPES DESIGN MONKEY DOLL,1,2011,2.55
21069,VINTAGE BILLBOARD TEA MUG,3,2011,42.5
84819,DANISH ROSE ROUND SEWING BOX,1,2011,283.05
21243,PINK  POLKADOT PLATE,4,2011,152.1
22149,FELTCRAFT 6 FLOWER FRIENDS,4,2011,901.8
84970S,HANGING HEART ZINC T-LIGHT HOLDER,5,2011,874.9399999999999
85204,HANGING WOOD AND FELT FLOWER,7,2011,4.08
23346,SPACEBOY BEAKER,7,2011,82.5
20973,12 PENCIL SMALL TUBE WOODLAND,5,2011,63.7
47590B,PINK HAPPY BIRTHDAY BUNTING,5,2011,2432.7000000000003
22562,MONSTERS STENCIL CRAFT,8,2011,113.97
21209,MULTICOLOUR HONEYCOMB FAN,8,2011,30.029999999999998
21181,PLEASE ONE PERSON METAL SIGN,5,2011,1734.3000000000002
21240,BLUE POLKADOT CUP,7,2011,150.45
22102,MIRROR MOSAIC T-LIGHT HOLDER,5,2011,59.39999999999999
22587,FELTCRAFT HAIRBAND RED AND BLUE,6,2011,13.599999999999998
21481,FAWN BLUE HOT WATER BOTTLE,6,2011,156.70000000000002
22986,GINGHAM ROSE WRAP,6,2011,10.5
22282,12 EGG HOUSE PAINTED WOOD,5,2011,38.25
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,7,2011,12.75
21090,SET/6 COLLAGE PAPER PLATES,8,2011,15.989999999999998
22778,GLASS CLOCHE SMALL,6,2011,148.51000000000002
23360,SET 8 CANDLES VINTAGE DOILY,8,2011,483.2999999999999
21984,PACK OF 12 PINK PAISLEY TISSUES,6,2011,51.03999999999999
40003,WHITE BAMBOO RIBS LAMPSHADE,6,2011,15.0
22350,ILLUSTRATED CAT BOWL,6,2011,76.5
21395,BLUE POLKADOT BEAKER,8,2011,183.69
21198,WHITE HEART CONFETTI IN TUBE,5,2011,98.99999999999999
22408,MONEY BOX CONFECTIONERY DESIGN,7,2011,1.25
21243,PINK  POLKADOT PLATE,8,2011,316.65000000000003
21993,FLORAL FOLK STATIONERY SET,5,2011,26.55
23060,HEART BEADED TRELLIS DECORATION,4,2011,8.32
22079,RIBBON REEL HEARTS DESIGN,6,2011,184.8
22313,OFFICE MUG WARMER PINK,4,2011,20.650000000000002
21624,VINTAGE UNION JACK DOORSTOP,4,2011,71.4
23103,JINGLE BELL HEART DECORATION,10,2011,1702.9499999999996
23454,THREE MINI HANGING FRAMES,11,2011,319.55
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,10,2011,56.099999999999994
22274,FELTCRAFT DOLL EMILY,11,2011,722.42
23068,ALUMINIUM STAMPED HEART,9,2011,316.47
22396,MAGNETS PACK OF 4 RETRO PHOTO,10,2011,46.410000000000004
20718,RED RETROSPOT SHOPPER BAG,9,2011,258.67
21519,GIN & TONIC DIET GREETING CARD,10,2011,80.64
23167,SMALL CERAMIC TOP STORAGE JAR,11,2011,428.25999999999993
85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011,1891.18
22971,QUEENS GUARD COFFEE MUG,9,2011,468.3
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2011,300.1
22614,PACK OF 12 SPACEBOY TISSUES,11,2011,107.84
84997A,CHILDRENS CUTLERY POLKADOT GREEN,11,2011,1025.5400000000002
22114,HOT WATER BOTTLE TEA AND SYMPATHY,11,2011,4966.43
22668,PINK BABY BUNTING,8,2011,244.85
23028,DRAWER KNOB CRACKLE GLAZE BLUE,10,2011,75.89999999999999
46000M,POLYESTER FILLER PAD 45X45CM,11,2011,213.90000000000003
22262,FELT EGG COSY CHICKEN,10,2011,57.59
22713,CARD I LOVE LONDON,10,2011,231.11999999999995
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,11,2011,174.75
20848,ZINC HEART LATTICE CHARGER SMALL,8,2011,8.850000000000001
20969,RED FLORAL FELTCRAFT SHOULDER BAG,9,2011,532.79
21155,RED RETROSPOT PEG BAG,10,2011,351.76
22570,FELTCRAFT CUSHION RABBIT,10,2011,2251.5
72799F,IVORY PILLAR CANDLE GOLD FLOCK,11,2011,47.2
23009,I LOVE LONDON BABY GIFT SET,11,2011,490.39999999999986
84665,SQUARE CHERRY BLOSSOM CABINET,11,2011,47.6
23281,FOLDING BUTTERFLY MIRROR RED,8,2011,234.75000000000003
21217,RED RETROSPOT ROUND CAKE TINS,10,2011,298.5
20986,BLUE CALCULATOR RULER,10,2011,234.38
23179,CLOCK MAGNET MUM'S KITCHEN,8,2011,17.34
22043,CHRISTMAS CARD SCREEN PRINT,7,2011,20.16
23425,STORAGE TIN HOME SWEET HOME,11,2011,77.19
84665,SQUARE CHERRY BLOSSOM CABINET,8,2011,23.8
35095A,BLUE VICTORIAN FABRIC OVAL BOX,10,2011,12.600000000000001
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,11,2011,266.21000000000004
21218,RED SPOTTY BISCUIT TIN,11,2011,807.1999999999999
15036,ASSORTED COLOURS SILK FAN,11,2011,468.11999999999995
22741,FUNKY DIVA PEN,12,2011,244.8
85175,CACTI T-LIGHT CANDLES,11,2011,216.96
20733,GOLD MINI TAPE MEASURE,11,2011,24.65
90099,NECKLACE+BRACELET SET BLUE HIBISCUS,11,2011,30.6
35004B,SET OF 3 BLACK FLYING DUCKS,12,2011,54.5
23128,FELTCRAFT BOY JEAN-PAUL KIT,12,2011,99.0
22732,3D VINTAGE CHRISTMAS STICKERS,11,2011,627.23
22042,CHRISTMAS CARD SINGING ANGEL,12,2011,20.16
21159,MOODY BOY  DOOR HANGER,6,2011,33.349999999999994
23045,PAPER LANTERN 5 POINT STAR MOON,8,2011,16.6
22635,CHILDS BREAKFAST SET DOLLY GIRL,12,2010,592.05
90148,LONG SILVER NECKLACE PASTEL FLOWER,1,2011,12.75
22699,ROSES REGENCY TEACUP AND SAUCER,3,2011,2010.0
85170D,SET/6 PINK BIRD T-LIGHT CANDLES,3,2011,31.500000000000007
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1,2011,538.5
21484,CHICK GREY HOT WATER BOTTLE,12,2010,1484.1
22982,PANTRY PASTRY BRUSH,3,2011,443.82
84944,SET OF 6 KASHMIR FOLKART BAUBLES,12,2010,119.0
22328,ROUND SNACK BOXES SET OF 4 FRUITS,2,2011,762.5000000000001
84510A,SET OF 4 ENGLISH ROSE COASTERS,3,2011,111.25
22855,FINE WICKER HEART,2,2011,349.26
22074,6 RIBBONS SHIMMERING PINKS,12,2010,183.48000000000002
84946,ANTIQUE SILVER TEA GLASS ETCHED,2,2011,904.3100000000001
84352,SILVER CHRISTMAS TREE BAUBLE STAND,12,2010,195.39999999999998
22615,PACK OF 12 CIRCUS PARADE TISSUES,2,2011,27.839999999999996
22888,NUMBER TILE VINTAGE FONT 9,1,2011,39.76
22130,PARTY CONE CHRISTMAS DECORATION,12,2010,265.2
22360,GLASS JAR ENGLISH CONFECTIONERY,1,2011,205.0
22492,MINI PAINT SET VINTAGE,3,2011,1691.9999999999998
22849,"BREAD BIN, DINER STYLE, MINT",12,2010,59.8
22412,METAL SIGN NEIGHBOURHOOD WITCH,4,2011,126.00000000000001
22473,TV DINNER TRAY VINTAGE PAISLEY,12,2010,284.7
37449,CERAMIC CAKE STAND + HANGING CAKES,12,2010,688.2499999999999
35915B,BLUE KNITTED HEN,12,2010,3.3
35912B,WHITE/PINK CHICK DECORATION,3,2011,90.0
20832,RED FLOCK LOVE HEART PHOTO FRAME,2,2011,56.95
47590A,BLUE HAPPY BIRTHDAY BUNTING,12,2010,379.6500000000001
21828,EIGHT PIECE SNAKE  SET,3,2011,46.25
82567,"AIRLINE LOUNGE,METAL SIGN",1,2011,33.6
21064,BOOM BOX SPEAKER BOYS,3,2011,17.85
21576,LETS GO SHOPPING COTTON TOTE BAG,1,2011,13.5
21733,RED HANGING HEART T-LIGHT HOLDER,7,2011,2315.5
22907,PACK OF 20 NAPKINS PANTRY DESIGN,8,2011,449.3399999999999
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,6,2011,3260.9500000000003
23158,SET OF 5 LUCKY CAT MAGNETS,7,2011,488.24
23238,SET OF 4 KNICK KNACK TINS LONDON,8,2011,1032.3
84687,BEACH HUT SHELF W 3 DRAWERS,5,2011,11.9
21224,SET/4 SKULL BADGES,7,2011,92.5
23033,DRAWER KNOB CERAMIC RED,7,2011,192.99999999999997
23206,LUNCH BAG APPLE DESIGN,8,2011,2358.8
22492,MINI PAINT SET VINTAGE,5,2011,1164.6
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,7,2011,143.58999999999997
81953P,ROUND ARTICULATED PINK CLOCK W/SUCK,7,2011,5.319999999999999
22493,PAINT YOUR OWN CANVAS SET,8,2011,1233.75
84535A,ENGLISH ROSE NOTEBOOK A6 SIZE,4,2011,169.50000000000003
22471,TV DINNER TRAY AIR HOSTESS,8,2011,29.700000000000003
23281,FOLDING MIRROR RED,5,2011,14.939999999999998
22915,ASSORTED BOTTLE TOP  MAGNETS,7,2011,73.92
22072,RED RETROSPOT TEA CUP AND SAUCER,8,2011,97.5
22271,FELTCRAFT DOLL ROSIE,6,2011,328.9
22744,MAKE YOUR OWN MONSOON CARD KIT,6,2011,94.40000000000002
23292,SPACEBOY CHILDRENS CUP,6,2011,177.05
23235,STORAGE TIN VINTAGE LEAF,7,2011,339.16
22097,SWALLOW SQUARE TISSUE BOX,8,2011,87.36000000000001
90073,VINTAGE ENAMEL & CRYSTAL EARRINGS,6,2011,44.550000000000004
22770,MIRROR CORNICE,6,2011,74.75
15060B,FAIRY CAKE DESIGN UMBRELLA,6,2011,45.0
22670,FRENCH WC SIGN BLUE METAL,6,2011,117.5
85053,FRENCH ENAMEL CANDLEHOLDER,6,2011,205.80000000000004
22085,PAPER CHAIN KIT SKULLS,7,2011,32.45
20616,CHERRY BLOSSOM PASSPORT COVER,7,2011,19.5
21288,STRIPEY CHOCOLATE NESTING BOXES,4,2011,79.65
62018,SOMBRERO,4,2011,65.1
22477,WATERING CAN GARDEN MARKER,6,2011,51.25
21426,WOODLAND STORAGE BOX SMALL,7,2011,25.200000000000003
23019,SMALL APOTHECARY MEASURING JAR,7,2011,94.2
