StockCode,Description,Month,Year,TotalSales
22692,DOORMAT WELCOME TO OUR HOME,4,2011,512.6999999999999
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,5,2011,791.5799999999999
22384,LUNCH BAG PINK POLKADOT,1,2011,902.1500000000001
21221,SET/4 BADGES CUTE CREATURES,2,2011,43.75
47591D,PINK FAIRY CAKE CHILDRENS APRON,5,2011,601.8000000000002
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,2010,1863.0500000000002
22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011,403.04999999999995
22407,MONEY BOX FIRST ADE DESIGN,4,2011,18.75
20768,GREEN FERN JOURNAL,7,2011,35.7
85213,MINI  ZINC GARDEN DECORATIONS,3,2011,44.199999999999996
20981,12 PENCILS TALL TUBE WOODLAND,6,2011,25.499999999999996
84828,JUNGLE POPSICLES ICE LOLLY MOULDS,7,2011,112.5
22624,IVORY KITCHEN SCALES,3,2011,779.45
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2011,962.6499999999999
21617,4 LILY  BOTANICAL DINNER CANDLES,6,2011,33.75
23343,JUMBO BAG VINTAGE CHRISTMAS,7,2011,149.76
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,7,2011,150.00000000000003
21051,RIBBONS PURSE,12,2010,33.6
85188A,GREEN METAL SWINGING BUNNY,4,2011,23.799999999999997
23041,PAPER LANTERN 9 POINT SNOW STAR,6,2011,41.50000000000001
21989,PACK OF 20 SKULL PAPER NAPKINS,1,2011,115.6
22193,RED DINER WALL CLOCK,5,2011,652.8
22334,DINOSAUR PARTY BAG + STICKER SET,6,2011,90.75
21896,POTTING SHED TWINE,5,2011,168.0
21411,GINGHAM HEART  DOORSTOP RED,5,2011,76.5
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1,2011,165.0
22914,BLUE COAT RACK PARIS FASHION,7,2011,133.65
22807,SET OF 6 T-LIGHTS TOADSTOOLS,12,2010,141.60000000000002
23205,CHARLOTTE BAG VINTAGE ALPHABET,5,2011,462.75
22691,DOORMAT WELCOME SUNRISE,5,2011,162.9
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,6,2011,203.7
48187,DOORMAT NEW ENGLAND,7,2011,3406.3
21888,BINGO SET,2,2011,127.5
84531B,BLUE KNITTED EGG COSY,3,2011,40.949999999999996
22026,BANQUET BIRTHDAY  CARD,2,2011,66.24
22976,CIRCUS PARADE CHILDRENS EGG CUP,2,2011,98.75
22079,RIBBON REEL HEARTS DESIGN,3,2011,211.2
21558,SKULL LUNCH BOX WITH CUTLERY,4,2011,201.45
20764,ABSTRACT CIRCLES SKETCHBOOK,5,2011,26.25
23549,WRAP BIRD GARDEN,7,2011,94.5
22297,HEART IVORY TRELLIS SMALL,8,2011,592.5
22781,GUMBALL MAGAZINE RACK,12,2010,267.75
22474,SPACEBOY TV DINNER TRAY,3,2011,59.400000000000006
21967,PACK OF 12 SKULL TISSUES,12,2010,92.50999999999999
22854,CREAM SWEETHEART EGG HOLDER,1,2011,560.4000000000001
22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,2011,453.9
21242,RED RETROSPOT PLATE,5,2011,305.89
22257,FELT FARM ANIMAL SHEEP,2,2011,43.75
85071C,"\"CHARLIE+LOLA\"\"EXTREMELY BUSY\"\" SIGN\"",5,2011,59.43
84877B,GREEN ROUND COMPACT MIRROR,12,2010,30.0
21058,PARTY INVITES WOODLAND,2,2011,272.80999999999995
85231B,CINAMMON SET OF 9 T-LIGHTS,3,2011,13.600000000000001
22851,SET 20 NAPKINS FAIRY CAKES DESIGN,7,2011,108.80000000000001
21754,HOME BUILDING BLOCK WORD,8,2011,916.1500000000001
