CustomerID,AverageRevenue
12346,77183.6
16446,56157.5
15098,13305.5
15749,4453.43
15195,3861.0
13135,3096.0
17846,2033.1
18087,2027.8599999999997
16532,1687.2
16000,1377.0777777777778
16754,1001.2
12755,952.9874999999998
18133,931.4999999999999
12798,872.1299999999999
17949,835.8640000000001
17553,743.8
15299,643.8585714285715
16308,640.0
16986,624.4
18080,615.75
18102,602.45313225058
16333,591.7066666666667
13270,590.0
17450,578.544017857143
17291,550.8000000000001
17443,534.24
16041,527.7333333333332
12931,512.8775609756098
15389,500.0
17857,497.76
16742,464.9
15802,451.42
16716,450.6
15524,440.0
18233,440.0
15769,432.7132307692308
16881,432.0
16692,425.3333333333333
16737,417.59999999999997
15649,408.0
16698,399.6
12908,375.0
12980,368.745
12557,363.3624242424242
17948,358.56000000000006
14566,358.0
17029,358.0
12823,351.9
14145,340.2
16029,335.48066390041487
14603,330.0
17723,327.64000000000004
17715,326.4
14424,322.08
14887,310.3333333333333
12917,297.0
15442,297.0
13452,295.0
15100,291.99999999999994
17317,288.9266666666667
16671,282.045
13631,279.1290909090909
14045,276.625
15797,275.925
17396,271.51111111111106
18251,269.67
16013,267.1266187050359
13027,265.84615384615387
15171,257.9
13848,251.0
15510,250.0
12939,246.42127659574467
12603,246.39999999999998
15118,244.8
17925,244.08
16684,240.6265703971119
16182,236.34464285714284
12454,235.22266666666667
17347,228.96
17500,227.6
17788,223.58
17940,223.33555555555554
17353,217.5
12435,217.49694444444447
16323,207.50000000000003
17923,207.50000000000003
13099,207.35999999999999
15269,204.4
13017,204.0
13225,201.99499999999998
15838,201.4555688622754
14607,200.1172839506173
16505,194.4
17616,190.39999999999998
17381,186.01477064220185
17133,181.19407407407405
13298,180.0
12830,179.3326315789474
13228,179.0
15043,179.0
16990,179.0
14705,179.0
14935,178.471
13147,178.20000000000002
13953,175.78399999999996
17331,175.2
16144,175.2
12415,174.46163407821234
18017,174.33333333333334
13068,172.0
12875,171.61500000000004
16210,171.43333333333337
14101,170.76542857142857
17391,169.60000000000002
17929,168.6
15316,165.0
14548,163.2
17404,161.14555555555555
15473,161.01818181818183
17044,158.08
15267,156.12363636363636
18220,152.64000000000001
17941,152.28
12901,152.19431034482756
13689,151.66666666666666
14609,150.39
17389,149.45389671361502
18246,149.025
15653,146.23999999999998
14866,145.35252525252525
12590,145.06264705882353
14195,144.57142857142858
16163,142.76666666666668
16429,142.275
12643,139.36
18194,139.12
13791,137.8181818181818
14616,135.36
15061,135.32044665012398
16377,135.24
16276,135.10000000000002
16319,134.8
14646,134.71443269230753
15562,134.55
13217,133.495
13629,132.07389830508475
12664,131.94270270270272
13777,131.86375634517768
14477,130.96
17306,130.77742424242427
17414,129.66666666666666
17896,128.16
17268,127.27333333333333
14828,125.86823529411765
16976,125.75999999999999
13029,124.75
17640,124.332
16073,122.39999999999999
16281,121.29764705882353
17152,120.67857142857143
15971,119.9957142857143
14212,118.94222222222223
15341,118.85411764705883
16656,118.16164383561646
15222,117.0
18064,116.28571428571429
13694,114.50637323943664
14434,114.40000000000002
13763,114.33066666666667
14258,114.14396396396396
13941,113.62133333333335
16545,113.10000000000001
12770,112.62083333333332
12882,112.54153846153847
15482,112.16247422680411
15619,112.13333333333334
15368,111.73500000000001
14680,111.45003875968996
12891,110.33333333333333
12818,110.14857142857144
12753,108.77862944162436
12989,108.18921874999998
12678,106.83915151515153
13798,106.45802292263602
15070,106.2
13261,104.9
13525,104.79666666666667
17262,104.44666666666667
12863,104.23999999999998
18174,104.0
16107,103.36000000000001
13145,103.08666666666666
18092,101.8905617977528
18068,101.69999999999999
12409,101.58412844036695
15587,101.52000000000001
17937,100.02837209302326
13703,99.5
15199,97.59230769230768
16872,97.14571428571428
17313,97.03500000000001
15864,96.816
13868,96.74363636363637
14147,96.67999999999999
13881,96.40179775280897
12791,96.30000000000001
17386,95.94357142857143
12744,95.8526576576577
17924,95.56451612903226
15032,95.36730769230768
13324,94.9593333333333
17511,94.5611422637591
17856,94.53533333333334
15251,94.45936936936937
16989,94.4375
14062,94.27792792792792
16422,93.99566395663959
13929,93.6277777777778
12873,93.5
14199,92.69999999999999
17457,91.45789473684209
15125,90.77543307086614
16927,90.50833333333333
15945,90.5
18084,90.47999999999999
14608,89.25750000000001
13587,89.05
17809,88.71983606557377
14423,88.39999999999999
14463,88.27
12967,87.41578947368421
17354,87.06625
14088,85.72463497453303
12403,85.54
17513,85.53333333333335
13841,85.0
15497,84.14666666666666
14156,84.02156272401437
17388,83.97066666666667
14124,83.916
14439,83.16375000000001
15694,83.06923076923077
13199,82.4968067226891
12752,82.3920754716981
14987,81.6
15621,80.81437500000001
15221,80.65
17752,80.64
15793,80.4675
15939,80.46065789473683
13094,80.30500000000002
15286,80.18333333333334
12950,80.1304347826087
13340,80.1229850746269
13685,79.98564102564099
13747,79.6
13784,79.44483870967741
16660,79.22812499999998
16078,79.2
15753,79.2
14752,77.928
13493,77.32875
14967,77.3
17819,77.18479166666667
13328,76.96941176470588
16966,76.9632142857143
15973,76.955
13802,76.657
15189,76.53485849056604
13106,76.5
16148,76.32000000000001
15668,76.32000000000001
14090,76.32000000000001
18113,76.32000000000001
14411,75.92857142857143
15465,75.82082474226803
16711,75.0468181818182
15381,74.60624999999999
12497,74.50714285714285
15372,74.34814814814814
14051,74.33519047619046
15063,74.16
15030,74.03999999999999
14403,73.7905
16998,73.75
13854,73.72290909090908
17958,72.63714285714285
14055,72.564
13739,72.3
17186,72.0
17747,71.4
13185,71.4
16672,71.35912280701753
14681,71.27857142857142
16525,71.1882513661202
13805,71.12307692307692
16353,71.0181914893617
12888,70.824
14285,70.74111111111111
16751,70.5888
18008,70.53966666666666
12995,70.44
18240,70.42999999999999
12500,69.80032786885245
13260,69.7025
14111,69.285
15903,69.28054054054053
12912,69.26249999999999
14031,69.14743999999997
12731,68.96317518248173
13750,68.63583333333334
14737,68.50294117647059
15691,68.4
16553,68.09309523809526
18273,68.0
18142,67.968
18173,67.9625806451613
14816,67.9625
14520,67.65
18144,67.18023255813954
13216,66.748
13316,66.66197674418605
17679,66.40366666666667
14185,65.88333333333334
16696,65.79
14053,65.0625
14739,65.038
16079,64.38095238095238
15333,64.285
13302,63.75
15773,63.568000000000005
14306,63.4339393939394
16180,63.29740740740741
16152,63.070344827586204
12814,62.96
17526,62.9421052631579
13811,62.65384615384615
16839,62.38477443609022
15661,61.959999999999994
12358,61.47684210526315
15045,61.30500000000001
13113,60.92517412935323
15782,60.80790697674418
14676,60.67238095238095
17330,60.65
15361,59.84571428571428
13391,59.8
15400,59.68333333333333
15057,59.58
17079,59.400000000000006
17739,59.39042553191489
17409,59.37307692307694
15247,59.333333333333336
12507,59.30954545454545
15947,58.90482758620689
13408,58.822259414225925
12424,58.69866666666667
14952,58.691956521739144
17163,58.620000000000005
18093,58.51444444444446
12736,58.5
16997,58.5
16027,58.41374999999999
15270,58.03634146341463
16586,57.99375
12348,57.975483870967736
13414,57.9375
16565,57.9
16256,57.87923076923077
13984,57.531875
16260,57.525000000000006
17018,57.50625
13090,57.48916129032258
16652,57.40652542372882
15158,57.34285714285714
14522,57.325882352941164
12879,57.32199999999999
13188,57.300000000000004
16563,56.72315789473683
18058,56.71999999999999
17212,56.71249999999999
17919,56.697391304347825
13325,56.275
14164,56.26793103448276
16380,56.230645161290326
13366,56.160000000000004
15739,56.14
14377,56.095454545454544
15374,56.0
14196,55.919999999999995
15980,55.78744186046511
18259,55.68095238095239
15330,54.99692307692308
